*name; short_name;description;latitude;longitude;elevation;type;type_name;country;icao;frequency;rwy_landable;rwy_lenght;rwy_direc;rwy_surface;rwy_surface_name;rwy_bidirectional
Hasselfelde;Hasslf;;51.42'350"N;010.51'700"E;500;1792;Segelfluggel‰nde;1060;;123.425;1;0;0;5;Belag unbekannt;1
Hassfurt-Schweinfurt;Hassfr;;50.01'150"N;010.31'850"E;219;768;Sonderlandeplatz;1060;EDQT;119.800;1;1100;290;1;Asphalt;1
Hassloch Pfalz;Hasslc;;49.21'367"N;008.17'500"E;108;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Hayingen;Hayngn;;48.17'267"N;009.27'683"E;708;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Heide-Buesum;HeidBs;;54.09'300"N;008.54'170"E;2;768;Sonderlandeplatz;1060;EDXB;122.600;1;720;290;1;Asphalt;1
Heidelberg;Heidlb;;49.23'000"N;008.39'000"E;9999;512;milit‰rischer Flugplatz;1060;ETI"E;122.100;1;1055;250;1;Asphalt;1
Heilbronn-Boeckingen;Heilbr;;49.07'350"N;009.10'967"E;156;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Heiligenberg;Heilgn;;47.49'950"N;009.18'100"E;760;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Helgoland-Duene;Helgln;;54.11'100"N;007.55'000"E;2;768;Sonderlandeplatz;1060;EDXH;122.450;1;258;60;0;Beton;1
Hellenhagen;Hellnh;;52.01'600"N;009.34'217"E;200;1792;Segelfluggel‰nde;1060;;123.150;1;0;0;5;Belag unbekannt;1
Hellingst;Hellng;;53.22'533"N;008.51'017"E;23;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Hengsen-Opherdicke;Hengsn;;51.28'450"N;007.39'300"E;125;1792;Segelfluggel‰nde;1060;;123.450;1;0;0;5;Belag unbekannt;1
Heppenheim-Landesgrenze;Heppnh;;49.37'383"N;008.37'400"E;9999;1792;Segelfluggel‰nde;1060;;122.475;1;0;0;5;Belag unbekannt;1
Heringsdorf;Herngs;;53.52'730"N;014.09'100"E;28;1024;Flughafen;1060;EDAH;132.825;1;2300;280;1;Asphalt;1
Hermuthausen;Hermth;;49.18'883"N;009.44'683"E;409;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Herrenteich;Herrnt;;49.20'770"N;008.29'320"E;94;768;Sonderlandeplatz;1060;EDEH;132.050;1;535;220;3;Gras;1
Hersbruck;Hersbr;;49.30'433"N;011.27'000"E;338;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Herten-Rheinfelden;HertnR;;47.33'500"N;007.44'500"E;282;768;Sonderlandeplatz;1060;EDTR;123.250;1;405;240;3;Gras;1
Herzogenaurach;Herzgn;;49.35'080"N;010.52'400"E;326;768;Sonderlandeplatz;1060;EDQH;122.850;1;690;260;1;Asphalt;1
Hessisch-Lichtenau;Hesssc;;51.11'433"N;009.44'933"E;410;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Hettstadt;Hettst;;49.47'980"N;009.50'280"E;320;768;Sonderlandeplatz;1060;EDGH;122.425;1;550;270;3;Gras;1
